isim,enlem,boylam,osm_id
Göksen Eczanesi,39.9285429,32.9110675,4089736764
Yeni Baysal Eczanesi,39.9288638,32.9112472,4089736770
Mamak Çağlayan Eczanesi,39.9310162,32.9098299,4089839533
Bani Eczanesi,39.9964331,32.8654411,4095048996
Ahyar Eczanesi,39.996497,32.8542741,4102219925
Refik Saydam Eczanesi,39.984737,32.8464587,4102331469
Özgenaz Eczanesi,39.8702881,32.6650694,4104390046
Umur Eczanesi,39.8703854,32.6647813,4104390051
Yaşamkent Eczanesi,39.8704232,32.6644546,4104390053
Sevgi Güler Eczanesi,40.0023953,32.852165,4118698112
Koza Eczanesi,39.9839166,32.889165,4118698287
Aktepe Merkez Eczanesi,40.0012056,32.8814706,4120684845
Erdemli Eczanesi,39.9996862,32.8848491,4120684874
Karaşahin Eczanesi,39.9763339,32.8746736,4123071010
Müjdem Eczanesi,40.0038718,32.8806746,4137992098
Has Eczanesi,40.0038847,32.8803741,4137992115
Aktepe Yılmaz Eczanesi,40.0037196,32.8802806,4137992125
Yeni Hamiyet Eczanesi,39.9931032,32.883277,4138406802
Gençler Eczanesi,39.9773566,32.8567991,4140191867
Esentepe Eczanesi,39.9700842,32.9420251,4143269923
Ayşegül Eczanesi,39.9692884,32.9418495,4143269937
Kevser Eczanesi,39.9786647,32.8838398,4149252996
Altın Eczanesi,39.9942063,32.8827325,4150472410
Çeşme Eczanesi,39.9939083,32.8827511,4150472431
Yeşiltepe Eczanesi,39.9915256,32.8912094,4150510502
Haneli Eczanesi,39.9767568,32.8649349,4152614843
Serhat Eczanesi,39.9765368,32.8655326,4152614864
Akyıldız Eczanesi,39.9693769,32.8607925,4152710174
Kavacık Eczanesi,39.968008,32.8741358,4153331646
Atasun Eczanesi,39.9929111,32.8940034,4155427137
Canın Eczanesi,39.9930787,32.8936398,4155427147
Mumcular Eczanesi,39.9798522,32.8731876,4155679365
Ender Eczanesi,39.982867,32.8754073,4169203016
Ayşe Özgür Eczanesi,39.9692964,32.8712077,4176161062
Eren Eczanesi,39.9623632,32.8721199,4177746564
Arısu Eczanesi,39.9616073,32.8736983,4177835116
Öyküm Eczanesi,39.9615232,32.8734178,4177835122
Bizim Ilgan Eczanesi,39.9615917,32.8732288,4177835123
Erhan Eczanesi,40.0043805,32.8448682,4180762249
Bölen Eczanesi,40.0044345,32.844259,4180762264
Akbaş Eczanesi,40.0038098,32.8436071,4180762279
Gelincik Eczanesi,40.0032338,32.8422037,4180762285
Atapark Sağlık Eczanesi,40.0041595,32.8427431,4180762719
Başpınar Eczanesi,39.9799355,32.9330948,4202092056
Çevikler Eczanesi,39.9797089,32.9331771,4202092057
Asiye Eczanesi,39.9796696,32.9332977,4202092058
Karadağ Eczanesi,39.9795819,32.9330948,4202092060
Hüseyin Gazi Eczanesi,39.9610111,32.9359972,4206395906
Gülay Eczanesi,39.9642231,32.9218388,4206554819
Akalın Eczanesi,39.9647201,32.9221092,4206554826
Çamlık Eczanesi,39.9644848,32.9223694,4206554831
Serkanın Eczanesi,39.9645471,32.9224771,4206554832
Ilgaz Eczanesi,39.9730656,32.8998802,4214889332
Yeni Öztürk Eczanesi,39.9729919,32.8968283,4214889379
Doğruel Eczanesi,39.9654527,32.9020844,4216847772
Yeni Divan Eczanesi,39.9683435,32.9042802,4216902774
Fırat Eczanesi,39.9766699,32.8949978,4216903525
Gülpınar Eczanesi,39.9771316,32.8942393,4216903540
Aslıgül Eczanesi,39.9259885,32.8664818,4219006067
Altınay Eczanesi,39.9253786,32.8659721,4219006078
Aytül Eczanesi,39.9254727,32.8660869,4219006079
İncesu Tarman Eczanesi,39.9222827,32.864323,4219022869
Solgar Eczanesi,39.9222045,32.8647655,4219022871
Çise Eczanesi,39.9165292,32.8616752,4219227996
Öz Filiz Eczanesi,39.9620645,32.8779662,4220855781
Sırma Eczanesi,39.9631027,32.8911093,4220910686
Tünca Eczanesi,39.93112,32.9135432,4226636270
Ayşenur Güzel Eczanesi,39.9308893,32.9137891,4226636275
Bilinmeyen Pharmacy,39.9876074,32.8501078,4232347194
Bilinmeyen Pharmacy,39.9878023,32.8507311,4232347391
Uğur Eczanesi,39.9267635,32.8520798,4237566057
Yeni Ümit Eczanesi,39.9269193,32.852478,4237566058
Bayındır Eczanesi,39.92387,32.8561302,4240770636
Karaçay Eczanesi,39.9606351,32.8708238,4240869221
Yalım Eczanesi,39.9947125,32.8282958,4246152306
Dikmen Vadi Eczanesi,39.8790507,32.8418157,4258550790
Eryılmaz Eczanesi,39.9709012,32.8038971,4262143608
Doğakent Eczanesi,39.9018705,32.9368871,4273169052
Umudum Eczanesi,39.9017894,32.9368749,4273169053
Tarık Eczanesi,39.9010694,32.9380441,4273169077
Cansın Eczanesi,39.8968477,32.9356286,4273403884
Bebek Eczanesi,39.9118623,32.9067378,4290718114
İlhan Eczanesi,39.9068271,32.9106317,4290787175
Üzümlü Eczanesi,39.9062657,32.9108146,4290787180
Urankent Şeyma Eczanesi,39.9646908,32.7762128,4291421153
Galen Eczanesi,39.9149744,32.9235905,4292925495
Bersis Eczanesi,39.9146626,32.9237735,4292925502
Gündüzler Eczanesi,39.9121239,32.8908337,4307411291
Mervenin Eczanesi,39.9141319,32.8868204,4308791895
Usta Eczanesi,39.9141036,32.8872701,4308996090
Nazlım Eczanesi,39.9140954,32.8873907,4308996091
Uzun Eczanesi,39.914075,32.8874617,4308996092
İlker Evren Eczanesi,39.9246536,32.9070762,4314184858
Yaşar Eczanesi,39.9223062,32.9139364,4314218471
Pınarlı Eczanesi,39.9226823,32.913899,4314220494
Gülsen Eczanesi,39.9269777,32.8938692,4314366808
Şirin Eczanesi,39.9265046,32.8950104,4314366834
Tan Eczanesi,39.9258954,32.8809651,4324773496
Alpin Eczanesi,39.9266072,32.8882529,4326741075
Kıvançlı Eczanesi,39.9269527,32.8879605,4326741076
Yeni Önder Eczanesi,39.9272427,32.8883494,4326741077
Nar Eczanesi,39.927397,32.8883789,4326741078
Özer Eczanesi,39.9190904,32.8877396,4330533962
Aksoylar Eczanesi,39.9188447,32.8867677,4330534060
Gürsel Eczanesi,39.9222658,32.8856753,4330630467
Fatih Tunçel Eczanesi,39.9237471,32.8854434,4330703342
Dereboyu Eczanesi,39.9177901,32.9000992,4333414643
İskitler Eczanesi,39.9546748,32.8469771,4340773366
Palmiye Eczanesi,39.9548019,32.8468393,4340773367
Fatih Eczanesi,39.944624,32.8938395,4344212619
Piri Eczanesi,39.9383574,32.8885977,4344334889
Karasar Eczanesi,39.9348434,32.8757881,4345781175
Güllüoğlu Eczanesi,39.9352609,32.8758189,4345801181
Sefa Eczanesi,39.9353368,32.8757305,4345801182
Dörtyol Eczanesi,39.9365833,32.8720976,4345801188
Habibe Eczanesi,39.9354401,32.875571,4345801536
Öz Ateş Eczanesi,39.9354862,32.8755094,4345801537
Sema Nur Eczanesi,39.9355902,32.8753276,4345801543
Beyaz Eczanesi,39.9356457,32.8752213,4345801544
Altıparmak Eczanesi,39.9357709,32.8750102,4345801550
ECZANE HİKMET,39.9260516,32.86692,4346888697
Yağcıoğlu Eczanesi,39.9333905,32.8700833,4346890316
Dabak Eczanesi,39.9334227,32.8702748,4346890317
Keskin Eczanesi,39.9332116,32.8699893,4346922287
Doğumevi Eczanesi,39.9335527,32.8685193,4346926202
Anka Eczanesi,39.9259311,32.8473474,4347194427
Baran Eczanesi,39.9492941,32.8762147,4357093189
Yamaç Eczanesi,39.9549296,32.8806203,4357164089
Elif Eczanesi,39.859111,32.8158783,4362378008
Ceylin Eczanesi,39.8599337,32.8160371,4362378029
Kaplan Eczanesi,39.8617659,32.8173785,4362378066
Seymen Eczanesi,39.8653378,32.8192437,4362378094
Güçlü Eczanesi,39.8687119,32.8240631,4362545687
Doruk Eczanesi,39.8681838,32.8231914,4362548293
Şirinler Eczanesi,39.8679039,32.8227823,4362548295
Dikmen Gül Eczanesi,39.8702196,32.8271887,4362548361
Betül Önder Eczanesi,39.8697665,32.8274202,4362548363
Haziran Eczanesi,39.8701545,32.8282284,4362548366
Didem Eczanesi,39.8819231,32.8168664,4362649985
Evren Eczanesi,39.8814649,32.8152271,4362653319
Aşiyan Eczanesi,39.8811995,32.8139608,4362653330
Bilinmeyen Pharmacy,39.8838792,32.8705877,4367782712
Lünet Eczanesi,39.9092446,32.861798,4367864566
Pilül Eczanesi,39.8734228,32.8614527,4374048513
Pala Eczanesi,39.8703799,32.8632258,4374052662
Kübraam Eczanesi,39.8705373,32.8630826,4374052670
Nazlı Eczanesi,39.8715327,32.8629357,4374052711
Melis Eczanesi,39.8714914,32.8666678,4376911893
Bedir Eczanesi,39.9687158,32.8698919,4387501389
Orhan Eczanesi,39.9567219,32.8633383,4387501689
Çankaya Eczanesi,39.8856711,32.8488602,4388765696
Ana Deva Eczanesi,39.8856663,32.8496907,4388786195
Dikmen Esra Eczanesi,39.8745817,32.8328802,4388980095
Aksoy Eczanesi,39.8760425,32.8352212,4389001790
Aydınlar Eczane,39.8757986,32.8349973,4389001792
Sinde Eczanesi,39.8753774,32.8350311,4389001794
Özçınar Eczanesi,39.8759841,32.8343621,4389001797
Mayıs Eczanesi,39.8759338,32.8339453,4389001798
Yeni Sena Eczanesi,39.8755165,32.8351459,4389031691
Hattuşa Güliz Eczanesi,39.8749853,32.8346872,4389069489
Kıvılcım Eczanesi,39.8860848,32.8401264,4389122991
Bankalar Eczanesi,39.8850493,32.8394934,4389137491
Aygün Eczanesi,39.8815856,32.83976,4389137589
Farabi Eczanesi,39.8961109,32.858632,4395950420
Hüner Eczanesi,39.8922625,32.850899,4395955692
Çevre Eczanesi,39.8951831,32.8581971,4395955693
Senem Eczanesi,39.8938719,32.847006,4395990292
Dikmen Merkez Eczanesi,39.8753376,32.8411164,4407688291
Öz Derman Eczanesi,39.8754714,32.8410888,4407694590
Bilgesu Eczanesi,39.8747945,32.8397199,4407694591
Akcan Eczanesi,39.8726693,32.8573798,4411106204
Alper Armağan Eczanesi,39.872454,32.8569857,4411212691
Papatya Eczanesi,39.8724468,32.8568161,4411218389
Simkent Eczanesi,39.8852989,32.8862099,4411443327
Kırkonaklar Neşe Eczanesi,39.88607,32.8872214,4411487605
Gökşen Eczanesi,39.8774314,32.8789689,4412647495
Sinan Eczanesi,39.87882,32.8795824,4412647496
İlkem Eczanesi,39.8786015,32.8754046,4412681393
Buket Yazan Eczanesi,39.8818392,32.8818879,4412751000
Seltuğ Eczanesi,39.9378549,32.8979532,4417328226
Borahan Eczanesi,39.8835358,32.8750519,4417389208
Güldal Eczanesi,39.8838143,32.8750479,4417407600
Meral Eczanesi,39.8837021,32.8755025,4417417395
Zeynep Mine Eczanesi,39.8831116,32.8764497,4417419194
Özlem'in Eczanesi,39.8827905,32.8725058,4417427601
Sevin Eczanesi,39.8517726,32.8429101,4418872893
Elif Eslem Eczanesi,39.9039051,32.8089505,4436250428
Toprak Eczanesi,39.9601206,32.7910589,4444521189
Durum Eczanesi,39.9240795,32.8504635,4444527689
Atahan Eczanesi,39.9242645,32.8258364,4445036503
Uçak Eczanesi,39.9240707,32.8256893,4445038897
Etiler Eczanesi,39.949421,32.6648307,4446024695
Botanik Park Eczanesi,39.9861153,32.6912607,4446097597
Sevde Eczanesi,39.9691283,32.8409618,4446109890
Nane Limon Eczanesi,40.0071549,32.848531,4446109892
Uludağ Eczanesi,39.939635,32.8772512,4446158190
Alaçam Eczanesi,39.9016044,32.8530734,4446188589
Atlas Eczanesi,39.8860308,32.8391004,4446189989
Yunus Eczanesi,39.9251403,32.8593135,4448249491
Şevval Eczanesi,39.9105119,32.8841387,4448304490
Bestekar Eczanesi,39.9125507,32.8571033,4448304491
Akınsoy Eczanesi,39.9802627,32.8329661,4448308290
Kalender Eczanesi,39.9714599,32.873006,4449004589
Samet Eczanesi,39.9318105,32.8758787,4453656694
Bayburt Eczanesi,39.9968818,32.8631759,4453656695
Pınarsu Eczanesi,39.9852754,32.8821659,4453672591
Sever Eczanesi,39.9292459,32.8447008,4453696992
Tuğba Eczanesi,39.8695617,32.8678397,4453714191
